Month,Price
2000-01,275.48
2000-02,273.4
2000-03,270.69
2000-04,276.8
2000-05,274.25
2000-06,275.63
2000-07,288.53
2000-08,285.39
2000-09,282.55
2000-10,289.73
2000-11,279.84
2000-12,275.72
2001-01,270.93
2001-02,260.63
2001-03,255.04
2001-04,262.54
2001-05,266.85
2001-06,275.46
2001-07,271.45
2001-08,269.99
2001-09,290.21
2001-10,282.04
2001-11,279.59
2001-12,267.27
2002-01,302.67
2002-02,308.24
2002-03,292.89
2002-04,303.61
2002-05,305.4
2002-06,308.85
2002-07,310.0
2002-08,327.01
2002-09,319.9
2002-10,314.74
2002-11,322.09
2002-12,304.6
2003-01,360.86
2003-02,347.03
2003-03,342.71
2003-04,355.28
2003-05,368.37
2003-06,366.08
2003-07,367.63
2003-08,368.08
2003-09,364.67
2003-10,372.17
2003-11,368.7
2003-12,374.41
2004-01,405.55
2004-02,390.55
2004-03,397.16
2004-04,393.59
2004-05,401.36
2004-06,413.92
2004-07,421.52
2004-08,422.78
2004-09,414.11
2004-10,420.61
2004-11,419.86
2004-12,418.98
2005-01,432.07
2005-02,436.84
2005-03,417.94
2005-04,419.33
2005-05,447.85
2005-06,454.91
2005-07,446.68
2005-08,458.57
2005-09,459.49
2005-10,452.49
2005-11,455.02
2005-12,458.81
2006-01,593.75
2006-02,615.88
2006-03,551.61
2006-04,594.75
2006-05,601.25
2006-06,599.62
2006-07,610.38
2006-08,587.94
2006-09,618.59
2006-10,628.8
2006-11,633.48
2006-12,599.96
2007-01,674.58
2007-02,682.23
2007-03,684.04
2007-04,679.67
2007-05,685.29
2007-06,703.26
2007-07,704.44
2007-08,720.24
2007-09,706.93
2007-10,715.75
2007-11,704.46
2007-12,679.11
2008-01,863.02
2008-02,866.79
2008-03,840.6
2008-04,840.91
2008-05,842.11
2008-06,863.67
2008-07,873.68
2008-08,869.88
2008-09,894.24
2008-10,908.77
2008-11,921.93
2008-12,878.41
2009-01,958.18
2009-02,956.68
2009-03,898.07
2009-04,938.25
2009-05,964.11
2009-06,1015.46
2009-07,973.7
2009-08,988.23
2009-09,996.13
2009-10,978.24
2009-11,1009.7
2009-12,987.25
2010-01,1225.43
2010-02,1190.41
2010-03,1215.01
2010-04,1154.66
2010-05,1232.89
2010-06,1278.37
2010-07,1212.45
2010-08,1229.0
2010-09,1263.97
2010-10,1254.81
2010-11,1210.47
2010-12,1232.52
2011-01,1516.43
2011-02,1571.96
2011-03,1489.97
2011-04,1573.04
2011-05,1540.56
2011-06,1562.81
2011-07,1614.51
2011-08,1557.23
2011-09,1627.5
2011-10,1670.55
2011-11,1552.81
2011-12,1586.64
